Id,Nombre,Precio,Precio Pack,Formato,Categoria,Supermercado,Url,Url_imagen
VC4AECOMM-373567,Snack vegetal de lentejas Sensation Carrefour 100 g.,"1,64 €","16,40 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/snack-vegetal-de-lentejas-sensation-carrefour-100-g/R-VC4AECOMM-373567/p,https://static.carrefour.es/hd_350x_/img_pim_food/373567_00_1.jpg
prod1070758,Cacahuete repelado frito Carrefour tarrina 250 g,"2,05 €","8,20 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/cacahuete-repelado-frito-carrefour-tarrina-250-g/R-prod1070758/p,https://static.carrefour.es/hd_350x_/img_pim_food/142426_00_1.jpg
VC4AECOMM-352527,Anacardo frito con miel Sensation Carrefour 125 g.,"2,35 €","18,80 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/anacardo-frito-con-miel-sensation-carrefour-125-g/R-VC4AECOMM-352527/p,https://static.carrefour.es/hd_350x_/img_pim_food/352527_00_1.jpg
VC4AECOMM-142083,Aperitivo de patata sabor pizza Pringles 185 g.,"2,95 €","15,95 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/aperitivo-de-patata-sabor-pizza-pringles-185-g/R-VC4AECOMM-142083/p,https://static.carrefour.es/hd_350x_/img_pim_food/142083_00_1.jpg
VC4AECOMM-520374,Nachos sabor chile Carrefour Sensation 200 g.,"1,32 €","6,60 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/nachos-sabor-chile-carrefour-sensation-200-g/R-VC4AECOMM-520374/p,https://static.carrefour.es/hd_350x_/img_pim_food/520374_00_1.jpg
prod810815,Almendras tostadas sin cáscara sin sal añadida ecológicas Carrefour Bio 90 g.,"2,99 €","33,22 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/almendras-tostadas-sin-cascara-sin-sal-anadida-ecologicas-carrefour-bio-90-g/R-prod810815/p,https://static.carrefour.es/hd_350x_/img_pim_food/235670_00_1.jpg
prod270558,Datil deshuesado ecológico Carrefour granel tarrina 200 g,"2,99 €","14,95 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/datil-deshuesado-ecologico-carrefour-granel-tarrina-200-g/R-prod270558/p,https://static.carrefour.es/hd_350x_/img_pim_food/298303_00_1.jpg
VC4AECOMM-197073,Cocktail de frutos secos Prestige Sensation Carrefour doy pack 200 g.,"3,45 €","17,25 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/cocktail-de-frutos-secos-prestige-sensation-carrefour-doy-pack-200-g/R-VC4AECOMM-197073/p,https://static.carrefour.es/hd_350x_/img_pim_food/197073_00_1.jpg
VC4AECOMM-674361,Tortitas de arroz integral con chocolate negro Bicentury sin gluten y sin azúcar añadido 130 g.,"3,25 €",25 €,kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/tortitas-de-arroz-integral-con-chocolate-negro-bicentury-sin-gluten-y-sin-azucar-anadido-130-g/R-VC4AECOMM-674361/p,https://static.carrefour.es/hd_350x_/img_pim_food/674361_00_1.jpg
VC4AECOMM-410221,Cacahuete crunch tijuana Cacahuetazo Grefusa 110 g,"2,05 €","18,64 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/cacahuete-crunch-tijuana-cacahuetazo-grefusa-110-g/R-VC4AECOMM-410221/p,https://static.carrefour.es/hd_350x_/img_pim_food/410221_00_1.jpg
760107103,Tortitas de maíz con chocolate negro Vitalday Gullón sin gluten y sin azúcar añadido 100 g.,"2,65 €","26,50 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/tortitas-de-maiz-con-chocolate-negro-vitalday-gullon-sin-gluten-y-sin-azucar-anadido-100-g/R-760107103/p,https://static.carrefour.es/hd_350x_/img_pim_food/768714_00_1.jpg
521003873,Aceitunas verdes rellenas de anchoa sabor suave La Española sin gluten 130 g.,"2,69 €","20,69 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/aceitunas-verdes-rellenas-de-anchoa-sabor-suave-la-espanola-sin-gluten-130-g/R-521003873/p,https://static.carrefour.es/hd_350x_/img_pim_food/449448_00_1.jpg
VC4AECOMM-216420,Aperitivo de maíz Pombear Grefusa sin gluten 80 g.,"1,89 €","23,62 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/aperitivo-de-maiz-pombear-grefusa-sin-gluten-80-g/R-VC4AECOMM-216420/p,https://static.carrefour.es/hd_350x_/img_pim_food/216420_00_1.jpg
